"TimeStamp","FilePages","AnonPages","SharedPages","SwapEntries"
"43580.100280","3143","1395","0","0"
"43580.770400","50226","561685","29802","0"
"43586.551164","50203","561724","37368","0"
"43592.109942","50252","561724","42183","0"
"43597.841688","50152","561726","46548","0"
"43603.614195","50241","561748","50449","0"
"43609.974583","51439","577289","56032","0"
"43615.685221","50239","561748","57806","0"
"43621.475771","50204","561749","58782","0"
"43627.166890","50204","561745","59954","0"
"43632.882071","50140","561746","62346","0"
"43638.495457","50528","561751","63577","0"
