"TimeStamp","FilePages","AnonPages","SharedPages","SwapEntries"
"103735.328902","3157","1396","0","0"
"103735.798877","9543","36320","1718","0"
"103737.397750","9511","36322","1962","0"
"103738.867521","13999","62283","3486","0"
"103740.448097","9491","36320","2101","0"
"103741.908694","11468","45076","2634","0"
"103743.507608","9573","36325","2102","0"
"103744.979759","11489","45076","2634","0"
"103746.549027","9509","36326","2102","0"
"103748.021129","10005","36453","2102","0"
"103749.481813","10837","45049","2619","0"
"103750.993736","9520","36325","2102","0"
